;Document;Abreviation;Library;Signature;Title;Printer;Remarks
0;AascoeldeTalaueracomediafamosa;Aasco_0;BNE;T-55312-31;Añasco el de Talavera;;
1;Aigualagrauionoayduelocomediafamosa;Aigua_0;BNE;T-55293-13;A igual agravio no hay duelo;;
2;Alarcón_DarconlamismaflorcomediafamosadedonIuandeAlarconyMendoza;Alarc_0;BNE;T-55282-30;Dar con la misma flor;Simón Fajardo;new
3;Anonima_Lo que pasa en un torno de monjas;Anoni_0;BNE;T-55294-3;Lo que pasa en un torno de monjas;;
4;Anonima_Lo que pasa en un torno de monjas 2;Anoni_1;BNE;T-55293-39;Lo que pasa en un torno de monjas;;
5;Armesto_LoasacramentaldeLaspotenciasdelalmaparaelautodelcolmenar;Armes_0;BNE;T-55283-19;Loa sacramental de Las tres potencias del alma;;
6;Avellaneda_ComediafamosaQuantasveotantasquiero;Avell_0;BNE;T-55282-25;Cuantas veo, tantas quiero;;
7;Botello_Con amor;Botel_0;BNE;T-55340-2;Con amor, no siempre la verdad es lo mejor;;
8;Bueno_ComedianuevaTambienZaragozaescielo;Bueno_0;BNE;T-55292-9;También Zaragoza es cielo;;
9;Calderon_Afectos de odio y amor;Calde_0;BNE;T-55305-18;Afectos de odio y amor;;
10;Calderon_Afectos de odio y amor 2;Calde_1;BNE;T-55305-20;Afectos de odio y amor;Lucas Antonio de Bedmar;hidden
11;Calderon_Amado;Calde_2;BNE;T-55345-22;Amado y aborrecido;;
12;Calderon_Amado y aborrecido;Calde_3;BNE;T-55338-5;Amado y aborrecido;;
13;Calderon_ArgenisyPoliarco R 11346;Calde_4;BNE;R-11346;Argenis y Poliarco;;
14;Calderon_Auristela;Calde_5;BNE;T-55308-24;Auristela y Lisidante;;
15;Calderon_ComediafamosaLaauroraenCopacabana T 14646 4;Calde_6;BNE;T-146464;La aurora en Copacabana;Lucas Antonio de Bedmar;hidden
16;Calderon_La banda y la flor;Calde_7;BNE;T-55307-16;La banda y la flor;;
17;Calderon_Las armas;Calde_8;BNE;T-55310-16;Las armas de la hermosura;;
18;Calderon_Pedro_La paciencia de IOB;Calde_9;BNE;T-55310-10;La paciencia de Job;Manuel de Sande;hidden
19;Calleja_Hacer fineza en el desaire;Calle_0;BNE;T-55295-22;Hacer fineza el desaire;;
20;Cancer_Mocedades;Cance_0;BNE;T-55295-14-1;Las mocedades de Bernardo del Carpio;X;new
21;Castillo Solorzano_LavitoriadeNorligenyelInfanteenAlemania;Casti_0;BNE;T-19074;La vitoria de Norlingen, y el Infante en Alemania;;
22;Castro_Guillen de CastroPagarenpropiamonedacomediafamosa;Castr_0;BNE;USOZ-9317;Pagar en propia moneda;;
23;Cienfuegos_ComediacomedidadedonNicoalsesdecirNicolasCienfuegosAmoresocultafuerza;Cienf_0;BNE;T-149744;Amor es oculta fuerza;;
24;Cordeiro_A grande agravio;Corde_0;BNE;T-55321-27;A grande agravio gran vinganza;;
25;Cuellar_Cada cual;Cuell_0;BNE;T-55293-10;Cada cual a su negocio;;
26;Estoeshechocomediafamosa;Estoe_0;BNE;T-55329-22;Acertar pensando errar;;
27;Gonzalez de Garci Gonzalez_ComediafamosaElassombrodelaItaliayvidadelavenerableClaradeAgolancia;Gonza_0;BNE;T-55324-18;El asombro de la Italia y la vida de la venerable Clara de Agolancia;;
28;Jimenez_La aurora del sol;Jimen_0;BNE;T-55333-16;La aurora del sol divino;;
29;LagrancomediaAmorconvalorseobliga;Lagra_0;BNE;T-55307-1;Amor con valor se obliga;;
30;Leyva_Amor astucia y valor;Leyva_0;BNE;T-55297-24;Amor, astucia y valor;;
31;Lope de Llano_Bernardo del Carpio;Lope__0;BNE;T-55297-7;Bernardo del Carpio;;
32;Lope de Llanos_Bernardo del Carpio 2;Lope__1;BNE;T-55297-8;Bernardo del Carpio;X;new
33;Lope de Vega_Labatalladelhonor R 13857;Lope__2;BNE;R-13857;La batalla del honor;;
34;Lope_El animal profeta;Lope__3;BNE;T-55355-23;El animal profeta;;
35;Madrid, Juan_Los medicos de Madrid;Madri_0;BNE;T-55343-18;Los médicos divinos y luceros de la Iglesia;;
36;Martinez de Meneses_Calderon_El arca de Noe;Marti_0;BNE;T-55303-31;El arca de Noé;;
