;Document;Abreviation;Title;Printer;Library;Signature
0;BNE_103_103_T-55310-9;BNE_103_;Honra, confusión y amor;Francisco de Lyra;BNE;T-55310-9
1;BNE_119_117_T-55312-7;BNE_119_;La perfeta casada;Francisco de Lyra;BNE;T-55312-7
2;BNE_164_163_T-55339-37;BNE_164_;Perdonar por no poderse vengar;;BNE;T-55339-37
3;BNE_169_171_T-55328-22;BNE_169_;Los desatinos de amor;Francisco de Lyra;BNE;T-55328-22
4;BNE_201_201_T-55360-48;BNE_201_;El celoso de su honra;Francisco de Lyra;BNE;T-55360-48
5;BNE_211_213_T-55360-60;BNE_211_;El mejor testigo es Dios;Francisco de Lyra;BNE;T-55360-60
6;BNE_212_216_T-55360-56;BNE_212_;El mejor testigo;Francisco de Lyra;BNE;T-55360-56
7;BNE_37_28_T-55360-53;BNE_37_2;El perdón castiga más;Francisco de Lyra;BNE;T-55360-53
8;BNUE_844_261_CD-122-514-2;BNUE_844;Añasco el de Talavera;Nicolás Rodríguez de Ábrego;BNUE;CD-122-514-2
9;BNUE_846_841_CD-122-514-1;BNUE_846;Donde hay agravio, hay venganza;Nicolás Rodríguez de Ábrego;BNUE;CD-122-514-1
10;BNUE_847_654_CD-122-514-5;BNUE_847;El hijo de las batallas;Nicolás Rodríguez de Ábrego;BNUE;CD-122-514-5
11;BNUE_859_852_CD-122-514-20;BNUE_859;El ollero de Ocaña;Nicolás Rodríguez de Ábrego;BNUE;CD-122-514-20
12;BNE_429_193_T-55310-6;BNE_429_;La palabra en la mujer;Francisco de Lyra;BNE;T-55310-6
13;BNE_774_739_T-55288-14;BNE_774_;El honroso atrevimiento;Francisco de Lyra;BNE;T-55288-14
14;BNE_775_738_T-55290-3;BNE_775_;Quien da luego, da dos veces;Francisco de Lyra;BNE;T-55290-3
15;BNE_779_734_T-55286-22;BNE_779_;Los balcones de Madrid;Francisco de Lyra;BNE;T-55286-22
16;BNE_825_828_T-55351-33;BNE_825_;El premio del bien hablar;Francisco de Lyra;BNE;T-55351-33
17;BNE_859_852_T-55318-14;BNE_859_;Yo he hecho lo que he podido, fortuna lo que ha querido;Francisco de Lyra;BNE;T-55318-14
18;BNUE_867_795_CD-122-514-6;BNUE_867;Bernardo del Carpio;Nicolás Rodríguez de Ábrego;BNUE;CD-122-514-6
19;BNE_796_587_T-55352-9;BNE_796_;La boba para los otros y discreta para sí;Francisco de Lyra;BNE;T-55352-9
20;Mira de Amescua_ElamparodeloshombresComediafamosa;Mira_de_;El amparo de los hombres;;BNE;T-55274-28
